method,field,avg_gold_tokens,avg_pred_tokens,median_length_ratio,over_extraction_rate,under_extraction_rate
cluster_kmeans,Int,123.32608695652173,78.92934782608695,0.37424460431654677,0.016304347826086956,0.125
cluster_kmeans,Out,113.7445652173913,73.13586956521739,0.40018169429934136,0.03260869565217391,0.25
cluster_kmeans,Pop,66.7336956521739,78.92934782608695,0.5382220684884123,0.1358695652173913,0.04891304347826087
llm_dynamic_1_shot,Int,13.641304347826088,18.25,1.2330316742081449,0.07608695652173914,0.19021739130434784
llm_dynamic_1_shot,Out,21.72826086956522,22.77173913043478,1.0,0.09239130434782608,0.25
llm_dynamic_1_shot,Pop,16.472826086956523,10.576086956521738,0.6180371352785146,0.03804347826086957,0.391304347826087
llm_dynamic_2_shot,Int,13.641304347826088,16.940217391304348,1.25,0.07608695652173914,0.15217391304347827
llm_dynamic_2_shot,Out,21.72826086956522,20.83695652173913,1.0,0.07608695652173914,0.2554347826086957
llm_dynamic_2_shot,Pop,16.472826086956523,8.380434782608695,0.5358974358974359,0.021739130434782608,0.42934782608695654
llm_dynamic_3_shot,Int,13.641304347826088,11.820652173913043,0.8681159420289855,0.05434782608695652,0.30434782608695654
llm_dynamic_3_shot,Out,21.72826086956522,16.75,0.767948717948718,0.07608695652173914,0.27717391304347827
llm_dynamic_3_shot,Pop,16.472826086956523,7.961956521739131,0.5,0.010869565217391304,0.5271739130434783
llm_dynamic_4_shot,Int,13.641304347826088,8.429347826086957,0.575187969924812,0.02717391304347826,0.44021739130434784
llm_dynamic_4_shot,Out,21.72826086956522,13.347826086956522,0.6130952380952381,0.03260869565217391,0.375
llm_dynamic_4_shot,Pop,16.472826086956523,5.896739130434782,0.42857142857142855,0.0,0.6086956521739131
llm_dynamic_5_shot,Int,13.641304347826088,8.36413043478261,0.5941176470588235,0.016304347826086956,0.42391304347826086
llm_dynamic_5_shot,Out,21.72826086956522,12.391304347826088,0.5805860805860805,0.03260869565217391,0.44565217391304346
llm_dynamic_5_shot,Pop,16.472826086956523,5.983695652173913,0.38585607940446653,0.0,0.6413043478260869
llm_zero_shot,Int,13.641304347826088,7.744565217391305,0.474937343358396,0.016304347826086956,0.45652173913043476
llm_zero_shot,Out,21.72826086956522,7.875,0.3169642857142857,0.0,0.5706521739130435
llm_zero_shot,Pop,16.472826086956523,6.4728260869565215,0.4166666666666667,0.005434782608695652,0.5869565217391305
ml_decomposed,Int,13.641304347826088,101.30978260869566,7.975,0.8097826086956522,0.0
ml_decomposed,Out,21.72826086956522,118.52173913043478,5.6521739130434785,0.7717391304347826,0.0
ml_decomposed,Pop,16.472826086956523,65.45108695652173,4.132518796992481,0.6467391304347826,0.0
ml_end_to_end,Int,13.641304347826088,105.09239130434783,7.861538461538462,0.7989130434782609,0.0
ml_end_to_end,Out,21.72826086956522,123.58152173913044,5.808608058608058,0.7608695652173914,0.0
ml_end_to_end,Pop,16.472826086956523,71.85326086956522,4.5,0.7119565217391305,0.0
