method,field,gold_coverage,prediction_coverage,precision_all,precision_when_predicted,recall_all,f1_all,hallucination_rate_when_predicted,avg_pred_tokens,avg_gold_tokens
cluster_kmeans,Int,0.9891304347826086,0.6086956521739131,0.4431884900774284,0.7102382336986324,0.4269682812269347,0.38933808054488517,0.0,78.92934782608695,123.32608695652173
cluster_kmeans,Out,0.9782608695652174,0.7010869565217391,0.5148110495365793,0.718800256703338,0.3969475000626364,0.3872516964454885,0.0,73.13586956521739,113.7445652173913
cluster_kmeans,Pop,1.0,0.6086956521739131,0.26127170034958136,0.42923207914574085,0.4368262783706625,0.2816344622584279,0.0,78.92934782608695,66.7336956521739
llm_dynamic_1_shot,Int,0.9891304347826086,1.0,0.47221706280435155,0.47221706280435155,0.5292825088817541,0.43987253107932844,0.03260869565217391,18.25,13.641304347826088
llm_dynamic_1_shot,Out,0.9782608695652174,1.0,0.5720400620771168,0.5720400620771168,0.5699837281477463,0.5053984333490594,0.043478260869565216,22.77173913043478,21.72826086956522
llm_dynamic_1_shot,Pop,1.0,0.9619565217391305,0.7691400742768713,0.7995580433160696,0.5180676575814939,0.5604369794271743,0.07344632768361582,10.576086956521738,16.472826086956523
llm_dynamic_2_shot,Int,0.9891304347826086,0.9891304347826086,0.4420799171814834,0.4469379382494118,0.5169103017690865,0.41966776938681194,0.03296703296703297,16.940217391304348,13.641304347826088
llm_dynamic_2_shot,Out,0.9782608695652174,0.9945652173913043,0.5924893431408426,0.5957269898246723,0.5547696434910476,0.5042602198186501,0.03278688524590164,20.83695652173913,21.72826086956522
llm_dynamic_2_shot,Pop,1.0,0.9619565217391305,0.7739763547131487,0.8045855890803354,0.46537389521839634,0.5200919690450568,0.03389830508474576,8.380434782608695,16.472826086956523
llm_dynamic_3_shot,Int,0.9891304347826086,1.0,0.5043028484487404,0.5043028484487404,0.40909874639685756,0.383781783513716,0.07065217391304347,11.820652173913043,13.641304347826088
llm_dynamic_3_shot,Out,0.9782608695652174,1.0,0.6172010473980206,0.6172010473980206,0.49219789800739305,0.4768660210007184,0.11956521739130435,16.75,21.72826086956522
llm_dynamic_3_shot,Pop,1.0,0.9945652173913043,0.8539151276514579,0.8585813305347992,0.48124466003276345,0.5536575039590624,0.09289617486338798,7.961956521739131,16.472826086956523
llm_dynamic_4_shot,Int,0.9891304347826086,0.9945652173913043,0.5596472129016009,0.5627053943928665,0.33937802026138614,0.3683467446307785,0.06557377049180328,8.429347826086957,13.641304347826088
llm_dynamic_4_shot,Out,0.9782608695652174,1.0,0.6540820311319352,0.6540820311319352,0.4260399553601023,0.4540577258377894,0.14130434782608695,13.347826086956522,21.72826086956522
llm_dynamic_4_shot,Pop,1.0,0.9836956521739131,0.860805883428166,0.8750733842584671,0.40262586715018955,0.4961924303968504,0.09392265193370165,5.896739130434782,16.472826086956523
llm_dynamic_5_shot,Int,0.9891304347826086,1.0,0.5648035287258566,0.5648035287258566,0.3335659424787531,0.37285942766534025,0.07608695652173914,8.36413043478261,13.641304347826088
llm_dynamic_5_shot,Out,0.9782608695652174,1.0,0.6514965297631038,0.6514965297631038,0.40094957208949916,0.4422979422856031,0.11956521739130435,12.391304347826088,21.72826086956522
llm_dynamic_5_shot,Pop,1.0,0.9945652173913043,0.864237725629316,0.8689603361518805,0.39729980277770693,0.4936548318129557,0.09289617486338798,5.983695652173913,16.472826086956523
llm_zero_shot,Int,0.9891304347826086,0.9565217391304348,0.5645993841390471,0.5788993561453674,0.29530629616039233,0.33573848609374,0.005681818181818182,7.744565217391305,13.641304347826088
llm_zero_shot,Out,0.9782608695652174,0.967391304347826,0.682809514030505,0.7002075875371513,0.2791241419402486,0.344318576789151,0.0056179775280898875,7.875,21.72826086956522
llm_zero_shot,Pop,1.0,0.9891304347826086,0.8829787694305583,0.8926818328308941,0.41709200563042337,0.512458428855237,0.005494505494505495,6.4728260869565215,16.472826086956523
ml_decomposed,Int,0.9891304347826086,0.9891304347826086,0.10465330008575228,0.10580333635043086,0.7250482987917889,0.1718391196266579,0.0,101.30978260869566,13.641304347826088
ml_decomposed,Out,0.9782608695652174,0.9782608695652174,0.15738624628620299,0.15532816287034082,0.7578046317447275,0.24730184975915454,0.0,118.52173913043478,21.72826086956522
ml_decomposed,Pop,1.0,0.9565217391304348,0.1962095524444463,0.2051281684646484,0.7516522736280642,0.28939910916902384,0.0,65.45108695652173,16.472826086956523
ml_end_to_end,Int,0.9891304347826086,0.9782608695652174,0.10094963383000714,0.10319295902622952,0.7319699312657434,0.16797053610321047,0.0,105.09239130434783,13.641304347826088
ml_end_to_end,Out,0.9782608695652174,0.9836956521739131,0.15965686217496367,0.1567782466309023,0.781884804244413,0.24878861240508313,0.0,123.58152173913044,21.72826086956522
ml_end_to_end,Pop,1.0,0.9402173913043478,0.1873761193632128,0.1992902078776368,0.8003424761505932,0.28748485103058186,0.0,71.85326086956522,16.472826086956523
