method,query,field,gold_relevant_docs,retrieved_docs,tp,fp,fn,query_precision,query_recall,query_f1,precision_at_20
cluster_kmeans,elderly patients,Pop,18,10,7,3,11,0.7,0.3888888888888889,0.5,0.4
cluster_kmeans,children,Pop,35,6,6,0,29,1.0,0.17142857142857143,0.2926829268292683,0.5
cluster_kmeans,placebo intervention,Int,45,31,31,0,14,1.0,0.6888888888888889,0.8157894736842105,1.0
cluster_kmeans,mortality or survival outcome,Out,12,8,7,1,5,0.875,0.5833333333333334,0.7000000000000001,0.35
cluster_kmeans,pain outcome,Out,14,2,2,0,12,1.0,0.14285714285714285,0.25,0.2
cluster_kmeans,quality of life outcome,Out,10,3,3,0,7,1.0,0.3,0.4615384615384615,0.3
llm_dynamic_1_shot,elderly patients,Pop,17,13,12,1,5,0.9230769230769231,0.7058823529411765,0.8000000000000002,0.6
llm_dynamic_1_shot,children,Pop,33,32,32,0,1,1.0,0.9696969696969697,0.9846153846153847,1.0
llm_dynamic_1_shot,placebo intervention,Int,40,37,34,3,6,0.918918918918919,0.85,0.8831168831168831,0.95
llm_dynamic_1_shot,mortality or survival outcome,Out,12,12,11,1,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.55
llm_dynamic_1_shot,pain outcome,Out,13,13,12,1,1,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.6
llm_dynamic_1_shot,quality of life outcome,Out,10,8,8,0,2,1.0,0.8,0.888888888888889,0.4
llm_dynamic_2_shot,elderly patients,Pop,17,15,14,1,3,0.9333333333333333,0.8235294117647058,0.8749999999999999,0.75
llm_dynamic_2_shot,children,Pop,33,33,33,0,0,1.0,1.0,1.0,1.0
llm_dynamic_2_shot,placebo intervention,Int,40,33,30,3,10,0.9090909090909091,0.75,0.821917808219178,0.9
llm_dynamic_2_shot,mortality or survival outcome,Out,12,13,12,1,0,0.9230769230769231,1.0,0.9600000000000001,0.6
llm_dynamic_2_shot,pain outcome,Out,13,13,12,1,1,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.6
llm_dynamic_2_shot,quality of life outcome,Out,10,8,8,0,2,1.0,0.8,0.888888888888889,0.45
llm_dynamic_3_shot,elderly patients,Pop,17,15,15,0,2,1.0,0.8823529411764706,0.9375,0.75
llm_dynamic_3_shot,children,Pop,33,32,32,0,1,1.0,0.9696969696969697,0.9846153846153847,1.0
llm_dynamic_3_shot,placebo intervention,Int,40,30,28,2,12,0.9333333333333333,0.7,0.8,0.95
llm_dynamic_3_shot,mortality or survival outcome,Out,12,13,11,2,1,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.55
llm_dynamic_3_shot,pain outcome,Out,13,13,12,1,1,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.6
llm_dynamic_3_shot,quality of life outcome,Out,10,9,9,0,1,1.0,0.9,0.9473684210526316,0.45
llm_dynamic_4_shot,elderly patients,Pop,17,11,11,0,6,1.0,0.6470588235294118,0.7857142857142858,0.6
llm_dynamic_4_shot,children,Pop,33,32,32,0,1,1.0,0.9696969696969697,0.9846153846153847,1.0
llm_dynamic_4_shot,placebo intervention,Int,40,22,22,0,18,1.0,0.55,0.7096774193548387,1.0
llm_dynamic_4_shot,mortality or survival outcome,Out,12,12,11,1,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.55
llm_dynamic_4_shot,pain outcome,Out,13,13,12,1,1,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.6
llm_dynamic_4_shot,quality of life outcome,Out,10,8,8,0,2,1.0,0.8,0.888888888888889,0.45
llm_dynamic_5_shot,elderly patients,Pop,17,14,14,0,3,1.0,0.8235294117647058,0.9032258064516129,0.75
llm_dynamic_5_shot,children,Pop,33,30,30,0,3,1.0,0.9090909090909091,0.9523809523809523,1.0
llm_dynamic_5_shot,placebo intervention,Int,40,17,17,0,23,1.0,0.425,0.5964912280701754,0.9
llm_dynamic_5_shot,mortality or survival outcome,Out,12,12,11,1,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.55
llm_dynamic_5_shot,pain outcome,Out,13,12,11,1,2,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.55
llm_dynamic_5_shot,quality of life outcome,Out,10,9,9,0,1,1.0,0.9,0.9473684210526316,0.45
llm_zero_shot,elderly patients,Pop,17,12,12,0,5,1.0,0.7058823529411765,0.8275862068965517,0.65
llm_zero_shot,children,Pop,33,33,33,0,0,1.0,1.0,1.0,1.0
llm_zero_shot,placebo intervention,Int,40,9,9,0,31,1.0,0.225,0.36734693877551017,0.65
llm_zero_shot,mortality or survival outcome,Out,12,9,9,0,3,1.0,0.75,0.8571428571428571,0.45
llm_zero_shot,pain outcome,Out,13,10,9,1,4,0.9,0.6923076923076923,0.7826086956521738,0.45
llm_zero_shot,quality of life outcome,Out,10,7,7,0,3,1.0,0.7,0.8235294117647058,0.4
ml_decomposed,elderly patients,Pop,17,15,15,0,2,1.0,0.8823529411764706,0.9375,0.75
ml_decomposed,children,Pop,33,33,31,2,2,0.9393939393939394,0.9393939393939394,0.9393939393939394,0.95
ml_decomposed,placebo intervention,Int,40,41,36,5,4,0.8780487804878049,0.9,0.888888888888889,0.9
ml_decomposed,mortality or survival outcome,Out,12,13,11,2,1,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.55
ml_decomposed,pain outcome,Out,13,14,12,2,1,0.8571428571428571,0.9230769230769231,0.888888888888889,0.6
ml_decomposed,quality of life outcome,Out,10,10,10,0,0,1.0,1.0,1.0,0.5
ml_end_to_end,elderly patients,Pop,17,16,16,0,1,1.0,0.9411764705882353,0.9696969696969697,0.8
ml_end_to_end,children,Pop,33,34,32,2,1,0.9411764705882353,0.9696969696969697,0.955223880597015,0.95
ml_end_to_end,placebo intervention,Int,40,41,36,5,4,0.8780487804878049,0.9,0.888888888888889,0.9
ml_end_to_end,mortality or survival outcome,Out,12,14,12,2,0,0.8571428571428571,1.0,0.923076923076923,0.6
ml_end_to_end,pain outcome,Out,13,16,13,3,0,0.8125,1.0,0.896551724137931,0.65
ml_end_to_end,quality of life outcome,Out,10,10,10,0,0,1.0,1.0,1.0,0.5
