method,field,Correct null,Exact hit,Missing field,Partial hit,Source hallucination,Spurious field,Too short partial hit,Wrong field / low overlap
cluster_kmeans,Int,2,4,70,70,0,0,3,35
cluster_kmeans,Out,2,6,53,50,0,2,13,58
cluster_kmeans,Pop,0,2,72,47,0,0,6,57
llm_dynamic_1_shot,Int,0,2,0,51,6,2,10,113
llm_dynamic_1_shot,Out,0,1,0,71,8,4,21,79
llm_dynamic_1_shot,Pop,0,4,7,75,13,0,32,53
llm_dynamic_2_shot,Int,0,1,2,52,6,2,9,112
llm_dynamic_2_shot,Out,0,0,1,78,6,4,21,74
llm_dynamic_2_shot,Pop,0,4,7,66,6,0,30,71
llm_dynamic_3_shot,Int,0,1,0,37,13,2,8,123
llm_dynamic_3_shot,Out,0,1,0,62,22,4,16,79
llm_dynamic_3_shot,Pop,0,9,1,60,17,0,35,62
llm_dynamic_4_shot,Int,0,1,1,25,12,2,13,130
llm_dynamic_4_shot,Out,0,2,0,52,26,4,20,80
llm_dynamic_4_shot,Pop,0,9,3,43,17,0,31,81
llm_dynamic_5_shot,Int,0,3,0,24,14,2,8,133
llm_dynamic_5_shot,Out,0,2,0,43,22,4,18,95
llm_dynamic_5_shot,Pop,0,7,1,41,17,0,33,85
llm_zero_shot,Int,2,3,6,17,1,0,11,144
llm_zero_shot,Out,1,1,5,30,1,3,18,125
llm_zero_shot,Pop,0,10,2,54,1,0,34,83
ml_decomposed,Int,0,0,2,2,0,2,0,178
ml_decomposed,Out,1,0,3,7,0,3,0,170
ml_decomposed,Pop,0,0,8,15,0,0,0,161
ml_end_to_end,Int,0,0,4,1,0,2,0,177
ml_end_to_end,Out,1,0,2,9,0,3,0,169
ml_end_to_end,Pop,0,0,11,11,0,0,0,162
