method,field,Correct null,Exact hit,Missing field,Partial hit,Source hallucination,Spurious field,Too short partial hit,Wrong field / low overlap
cluster_kmeans,Int,0.010869565217391304,0.021739130434782608,0.3804347826086957,0.3804347826086957,0.0,0.0,0.016304347826086956,0.19021739130434784
cluster_kmeans,Out,0.010869565217391304,0.03260869565217391,0.28804347826086957,0.2717391304347826,0.0,0.010869565217391304,0.07065217391304347,0.31521739130434784
cluster_kmeans,Pop,0.0,0.010869565217391304,0.391304347826087,0.2554347826086957,0.0,0.0,0.03260869565217391,0.30978260869565216
llm_dynamic_1_shot,Int,0.0,0.010869565217391304,0.0,0.27717391304347827,0.03260869565217391,0.010869565217391304,0.05434782608695652,0.6141304347826086
llm_dynamic_1_shot,Out,0.0,0.005434782608695652,0.0,0.3858695652173913,0.043478260869565216,0.021739130434782608,0.11413043478260869,0.42934782608695654
llm_dynamic_1_shot,Pop,0.0,0.021739130434782608,0.03804347826086957,0.4076086956521739,0.07065217391304347,0.0,0.17391304347826086,0.28804347826086957
llm_dynamic_2_shot,Int,0.0,0.005434782608695652,0.010869565217391304,0.2826086956521739,0.03260869565217391,0.010869565217391304,0.04891304347826087,0.6086956521739131
llm_dynamic_2_shot,Out,0.0,0.0,0.005434782608695652,0.42391304347826086,0.03260869565217391,0.021739130434782608,0.11413043478260869,0.40217391304347827
llm_dynamic_2_shot,Pop,0.0,0.021739130434782608,0.03804347826086957,0.358695652173913,0.03260869565217391,0.0,0.16304347826086957,0.3858695652173913
llm_dynamic_3_shot,Int,0.0,0.005434782608695652,0.0,0.20108695652173914,0.07065217391304347,0.010869565217391304,0.043478260869565216,0.6684782608695652
llm_dynamic_3_shot,Out,0.0,0.005434782608695652,0.0,0.33695652173913043,0.11956521739130435,0.021739130434782608,0.08695652173913043,0.42934782608695654
llm_dynamic_3_shot,Pop,0.0,0.04891304347826087,0.005434782608695652,0.32608695652173914,0.09239130434782608,0.0,0.19021739130434784,0.33695652173913043
llm_dynamic_4_shot,Int,0.0,0.005434782608695652,0.005434782608695652,0.1358695652173913,0.06521739130434782,0.010869565217391304,0.07065217391304347,0.7065217391304348
llm_dynamic_4_shot,Out,0.0,0.010869565217391304,0.0,0.2826086956521739,0.14130434782608695,0.021739130434782608,0.10869565217391304,0.43478260869565216
llm_dynamic_4_shot,Pop,0.0,0.04891304347826087,0.016304347826086956,0.23369565217391305,0.09239130434782608,0.0,0.16847826086956522,0.44021739130434784
llm_dynamic_5_shot,Int,0.0,0.016304347826086956,0.0,0.13043478260869565,0.07608695652173914,0.010869565217391304,0.043478260869565216,0.7228260869565217
llm_dynamic_5_shot,Out,0.0,0.010869565217391304,0.0,0.23369565217391305,0.11956521739130435,0.021739130434782608,0.09782608695652174,0.5163043478260869
llm_dynamic_5_shot,Pop,0.0,0.03804347826086957,0.005434782608695652,0.22282608695652173,0.09239130434782608,0.0,0.1793478260869565,0.46195652173913043
llm_zero_shot,Int,0.010869565217391304,0.016304347826086956,0.03260869565217391,0.09239130434782608,0.005434782608695652,0.0,0.059782608695652176,0.782608695652174
llm_zero_shot,Out,0.005434782608695652,0.005434782608695652,0.02717391304347826,0.16304347826086957,0.005434782608695652,0.016304347826086956,0.09782608695652174,0.6793478260869565
llm_zero_shot,Pop,0.0,0.05434782608695652,0.010869565217391304,0.29347826086956524,0.005434782608695652,0.0,0.18478260869565216,0.45108695652173914
ml_decomposed,Int,0.0,0.0,0.010869565217391304,0.010869565217391304,0.0,0.010869565217391304,0.0,0.967391304347826
ml_decomposed,Out,0.005434782608695652,0.0,0.016304347826086956,0.03804347826086957,0.0,0.016304347826086956,0.0,0.9239130434782609
ml_decomposed,Pop,0.0,0.0,0.043478260869565216,0.08152173913043478,0.0,0.0,0.0,0.875
ml_end_to_end,Int,0.0,0.0,0.021739130434782608,0.005434782608695652,0.0,0.010869565217391304,0.0,0.9619565217391305
ml_end_to_end,Out,0.005434782608695652,0.0,0.010869565217391304,0.04891304347826087,0.0,0.016304347826086956,0.0,0.9184782608695652
ml_end_to_end,Pop,0.0,0.0,0.059782608695652176,0.059782608695652176,0.0,0.0,0.0,0.8804347826086957
