method,field,extractiveness_rate,verbatim_match_rate,source_hallucination_rate
cluster_kmeans,Int,1.0,1.0,0.0
cluster_kmeans,Out,1.0,1.0,0.0
cluster_kmeans,Pop,1.0,1.0,0.0
llm_dynamic_1_shot,Int,0.9914725672877848,0.823999309868875,0.03260869565217391
llm_dynamic_1_shot,Out,0.9869565217391304,0.8590746361126796,0.043478260869565216
llm_dynamic_1_shot,Pop,0.9622410546139359,0.8160209846650525,0.07344632768361582
llm_dynamic_2_shot,Int,0.9806166056166057,0.7762365991761596,0.03296703296703297
llm_dynamic_2_shot,Out,0.9838884551999305,0.8188230712820876,0.03278688524590164
llm_dynamic_2_shot,Pop,0.9819209039548024,0.811864406779661,0.03389830508474576
llm_dynamic_3_shot,Int,0.9293478260869565,0.3769064872325742,0.07065217391304347
llm_dynamic_3_shot,Out,0.8876811594202899,0.2873125063342455,0.11956521739130435
llm_dynamic_3_shot,Pop,0.9098360655737705,0.663023679417122,0.09289617486338798
llm_dynamic_4_shot,Int,0.9344262295081968,0.2762295081967213,0.06557377049180328
llm_dynamic_4_shot,Out,0.8641304347826086,0.16829710144927537,0.14130434782608695
llm_dynamic_4_shot,Pop,0.9060773480662984,0.6335174953959485,0.09392265193370165
llm_dynamic_5_shot,Int,0.9239130434782609,0.3016304347826087,0.07608695652173914
llm_dynamic_5_shot,Out,0.8804347826086957,0.11005434782608696,0.11956521739130435
llm_dynamic_5_shot,Pop,0.9112021857923497,0.6206739526411658,0.09289617486338798
llm_zero_shot,Int,0.9943181818181818,0.5397727272727273,0.005681818181818182
llm_zero_shot,Out,0.9988764044943821,0.5587078651685393,0.0056179775280898875
llm_zero_shot,Pop,0.9945054945054945,0.7747252747252747,0.005494505494505495
ml_decomposed,Int,1.0,1.0,0.0
ml_decomposed,Out,1.0,0.9994444444444445,0.0
ml_decomposed,Pop,1.0,1.0,0.0
ml_end_to_end,Int,1.0,1.0,0.0
ml_end_to_end,Out,1.0,0.9996053670086819,0.0
ml_end_to_end,Pop,1.0,1.0,0.0
