method,pred_field,Int,None,Out,Pop
cluster_kmeans,Int,0.3423913043478261,0.391304347826087,0.125,0.14130434782608695
cluster_kmeans,Out,0.19021739130434784,0.29891304347826086,0.44565217391304346,0.06521739130434782
cluster_kmeans,Pop,0.3423913043478261,0.391304347826087,0.125,0.14130434782608695
llm_dynamic_1_shot,Int,0.9130434782608695,0.0,0.03804347826086957,0.04891304347826087
llm_dynamic_1_shot,Out,0.005434782608695652,0.0,0.9239130434782609,0.07065217391304347
llm_dynamic_1_shot,Pop,0.016304347826086956,0.03804347826086957,0.016304347826086956,0.9293478260869565
llm_dynamic_2_shot,Int,0.9021739130434783,0.010869565217391304,0.03804347826086957,0.04891304347826087
llm_dynamic_2_shot,Out,0.005434782608695652,0.005434782608695652,0.9347826086956522,0.05434782608695652
llm_dynamic_2_shot,Pop,0.005434782608695652,0.03804347826086957,0.021739130434782608,0.9347826086956522
llm_dynamic_3_shot,Int,0.9239130434782609,0.0,0.03260869565217391,0.043478260869565216
llm_dynamic_3_shot,Out,0.021739130434782608,0.0,0.9239130434782609,0.05434782608695652
llm_dynamic_3_shot,Pop,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.9836956521739131
llm_dynamic_4_shot,Int,0.9239130434782609,0.005434782608695652,0.02717391304347826,0.043478260869565216
llm_dynamic_4_shot,Out,0.021739130434782608,0.0,0.8967391304347826,0.08152173913043478
llm_dynamic_4_shot,Pop,0.005434782608695652,0.016304347826086956,0.005434782608695652,0.9728260869565217
llm_dynamic_5_shot,Int,0.9293478260869565,0.0,0.03260869565217391,0.03804347826086957
llm_dynamic_5_shot,Out,0.016304347826086956,0.0,0.9184782608695652,0.06521739130434782
llm_dynamic_5_shot,Pop,0.0,0.005434782608695652,0.005434782608695652,0.9891304347826086
llm_zero_shot,Int,0.8804347826086957,0.043478260869565216,0.016304347826086956,0.059782608695652176
llm_zero_shot,Out,0.021739130434782608,0.03260869565217391,0.8369565217391305,0.10869565217391304
llm_zero_shot,Pop,0.0,0.010869565217391304,0.010869565217391304,0.9782608695652174
ml_decomposed,Int,0.2826086956521739,0.010869565217391304,0.25,0.45652173913043476
ml_decomposed,Out,0.15217391304347827,0.021739130434782608,0.6739130434782609,0.15217391304347827
ml_decomposed,Pop,0.13043478260869565,0.043478260869565216,0.11956521739130435,0.7065217391304348
ml_end_to_end,Int,0.33152173913043476,0.021739130434782608,0.22282608695652173,0.42391304347826086
ml_end_to_end,Out,0.125,0.016304347826086956,0.6793478260869565,0.1793478260869565
ml_end_to_end,Pop,0.14130434782608695,0.059782608695652176,0.125,0.6739130434782609
