method,field,n,exact_accuracy,relaxed_accuracy,precision,recall,f1
llm_dynamic_1_shot,Int,184,0.010869565217391304,0.34782608695652173,0.47221706280435155,0.5292825088817541,0.43987253107932844
llm_dynamic_2_shot,Int,184,0.005434782608695652,0.34782608695652173,0.4420799171814834,0.5169103017690865,0.41966776938681194
cluster_kmeans,Int,184,0.03260869565217391,0.42934782608695654,0.4431884900774284,0.4269682812269347,0.38933808054488517
llm_dynamic_3_shot,Int,184,0.005434782608695652,0.2608695652173913,0.5043028484487404,0.40909874639685756,0.383781783513716
llm_dynamic_5_shot,Int,184,0.016304347826086956,0.20108695652173914,0.5648035287258566,0.3335659424787531,0.37285942766534025
llm_dynamic_4_shot,Int,184,0.005434782608695652,0.21739130434782608,0.5596472129016009,0.33937802026138614,0.3683467446307785
llm_zero_shot,Int,184,0.02717391304347826,0.1793478260869565,0.5645993841390471,0.29530629616039233,0.33573848609374
ml_decomposed,Int,184,0.0,0.010869565217391304,0.10465330008575228,0.7250482987917889,0.1718391196266579
ml_end_to_end,Int,184,0.0,0.005434782608695652,0.10094963383000714,0.7319699312657434,0.16797053610321047
llm_dynamic_1_shot,Out,184,0.005434782608695652,0.5217391304347826,0.5720400620771168,0.5699837281477463,0.5053984333490594
llm_dynamic_2_shot,Out,184,0.0,0.5543478260869565,0.5924893431408426,0.5547696434910476,0.5042602198186501
llm_dynamic_3_shot,Out,184,0.005434782608695652,0.47282608695652173,0.6172010473980206,0.49219789800739305,0.4768660210007184
llm_dynamic_4_shot,Out,184,0.010869565217391304,0.44565217391304346,0.6540820311319352,0.4260399553601023,0.4540577258377894
llm_dynamic_5_shot,Out,184,0.010869565217391304,0.3967391304347826,0.6514965297631038,0.40094957208949916,0.4422979422856031
cluster_kmeans,Out,184,0.043478260869565216,0.3858695652173913,0.5148110495365793,0.3969475000626364,0.3872516964454885
llm_zero_shot,Out,184,0.010869565217391304,0.2717391304347826,0.682809514030505,0.2791241419402486,0.344318576789151
ml_end_to_end,Out,184,0.005434782608695652,0.05434782608695652,0.15965686217496367,0.781884804244413,0.24878861240508313
ml_decomposed,Out,184,0.005434782608695652,0.043478260869565216,0.15738624628620299,0.7578046317447275,0.24730184975915454
llm_dynamic_1_shot,Pop,184,0.021739130434782608,0.6413043478260869,0.7691400742768713,0.5180676575814939,0.5604369794271743
llm_dynamic_3_shot,Pop,184,0.04891304347826087,0.6141304347826086,0.8539151276514579,0.48124466003276345,0.5536575039590624
llm_dynamic_2_shot,Pop,184,0.021739130434782608,0.5706521739130435,0.7739763547131487,0.46537389521839634,0.5200919690450568
llm_zero_shot,Pop,184,0.05434782608695652,0.5380434782608695,0.8829787694305583,0.41709200563042337,0.512458428855237
llm_dynamic_4_shot,Pop,184,0.04891304347826087,0.4945652173913043,0.860805883428166,0.40262586715018955,0.4961924303968504
llm_dynamic_5_shot,Pop,184,0.03804347826086957,0.4891304347826087,0.864237725629316,0.39729980277770693,0.4936548318129557
ml_decomposed,Pop,184,0.0,0.08152173913043478,0.1962095524444463,0.7516522736280642,0.28939910916902384
ml_end_to_end,Pop,184,0.0,0.059782608695652176,0.1873761193632128,0.8003424761505932,0.28748485103058186
cluster_kmeans,Pop,184,0.010869565217391304,0.29891304347826086,0.26127170034958136,0.4368262783706625,0.2816344622584279
