method,field,non_empty_predictions,strict_precision_non_empty,relaxed_precision_non_empty,mean_token_precision_non_empty,missing_rate,source_hallucination_rate,avg_hallucination_fraction
cluster_kmeans,Int,112.0,0.03571428571428571,0.6875,0.7102382336986324,0.38461538461538464,0.0,0.0
cluster_kmeans,Out,129.0,0.046511627906976744,0.5348837209302325,0.718800256703338,0.29444444444444445,0.0,0.0
cluster_kmeans,Pop,112.0,0.017857142857142856,0.49107142857142855,0.42923207914574085,0.391304347826087,0.0,0.0
llm_dynamic_1_shot,Int,184.0,0.010869565217391304,0.34782608695652173,0.47221706280435155,0.0,0.03260869565217391,0.004767972302297245
llm_dynamic_1_shot,Out,184.0,0.005434782608695652,0.5217391304347826,0.5720400620771168,0.0,0.043478260869565216,0.003955603679179391
llm_dynamic_1_shot,Pop,177.0,0.022598870056497175,0.6666666666666666,0.7995580433160696,0.03804347826086957,0.07344632768361582,0.015917125211039804
llm_dynamic_2_shot,Int,182.0,0.005494505494505495,0.3516483516483517,0.4469379382494118,0.01098901098901099,0.03296703296703297,0.004859240346856446
llm_dynamic_2_shot,Out,183.0,0.0,0.5573770491803278,0.5957269898246723,0.005555555555555556,0.03278688524590164,0.0026190364988179196
llm_dynamic_2_shot,Pop,177.0,0.022598870056497175,0.5932203389830508,0.8045855890803354,0.03804347826086957,0.03389830508474576,0.004837213947383439
llm_dynamic_3_shot,Int,184.0,0.005434782608695652,0.2608695652173913,0.5043028484487404,0.0,0.07065217391304347,0.008733366677051085
llm_dynamic_3_shot,Out,184.0,0.005434782608695652,0.47282608695652173,0.6172010473980206,0.0,0.11956521739130435,0.014454778960330565
llm_dynamic_3_shot,Pop,183.0,0.04918032786885246,0.6174863387978142,0.8585813305347992,0.005434782608695652,0.09289617486338798,0.018493176765394196
llm_dynamic_4_shot,Int,183.0,0.00546448087431694,0.2185792349726776,0.5627053943928665,0.005494505494505495,0.06557377049180328,0.01103580693744628
llm_dynamic_4_shot,Out,184.0,0.010869565217391304,0.44565217391304346,0.6540820311319352,0.0,0.14130434782608695,0.02100321167740583
llm_dynamic_4_shot,Pop,181.0,0.049723756906077346,0.5027624309392266,0.8750733842584671,0.016304347826086956,0.09392265193370165,0.022106024730334125
llm_dynamic_5_shot,Int,184.0,0.016304347826086956,0.20108695652173914,0.5648035287258566,0.0,0.07608695652173914,0.00977477343227093
llm_dynamic_5_shot,Out,184.0,0.010869565217391304,0.3967391304347826,0.6514965297631038,0.0,0.11956521739130435,0.015016218515479142
llm_dynamic_5_shot,Pop,183.0,0.03825136612021858,0.4918032786885246,0.8689603361518805,0.005434782608695652,0.09289617486338798,0.025591712476958378
llm_zero_shot,Int,176.0,0.017045454545454544,0.17613636363636365,0.5788993561453674,0.03296703296703297,0.005681818181818182,0.00047348484848484844
llm_zero_shot,Out,178.0,0.0056179775280898875,0.2752808988764045,0.7002075875371513,0.027777777777777776,0.0056179775280898875,0.00013702384214853386
llm_zero_shot,Pop,182.0,0.054945054945054944,0.5439560439560439,0.8926818328308941,0.010869565217391304,0.005494505494505495,0.0013736263736263737
ml_decomposed,Int,182.0,0.0,0.01098901098901099,0.10580333635043086,0.01098901098901099,0.0,0.0
ml_decomposed,Out,180.0,0.0,0.03888888888888889,0.15532816287034082,0.016666666666666666,0.0,0.0
ml_decomposed,Pop,176.0,0.0,0.08522727272727272,0.2051281684646484,0.043478260869565216,0.0,0.0
ml_end_to_end,Int,180.0,0.0,0.005555555555555556,0.10319295902622952,0.02197802197802198,0.0,0.0
ml_end_to_end,Out,181.0,0.0,0.049723756906077346,0.1567782466309023,0.011111111111111112,0.0,0.0
ml_end_to_end,Pop,173.0,0.0,0.06358381502890173,0.1992902078776368,0.059782608695652176,0.0,0.0
