method,field,query_answerable_rate,query_relaxed_correct_rate,query_exact_correct_rate,mean_query_f1
cluster_kmeans,Int,0.6086956521739131,0.42934782608695654,0.03260869565217391,0.38933808054488517
cluster_kmeans,Out,0.7010869565217391,0.3858695652173913,0.043478260869565216,0.3872516964454885
cluster_kmeans,Pop,0.6086956521739131,0.29891304347826086,0.010869565217391304,0.2816344622584279
llm_dynamic_1_shot,Int,1.0,0.34782608695652173,0.010869565217391304,0.43987253107932844
llm_dynamic_1_shot,Out,1.0,0.5217391304347826,0.005434782608695652,0.5053984333490594
llm_dynamic_1_shot,Pop,0.9619565217391305,0.6413043478260869,0.021739130434782608,0.5604369794271743
llm_dynamic_2_shot,Int,0.9891304347826086,0.34782608695652173,0.005434782608695652,0.41966776938681194
llm_dynamic_2_shot,Out,0.9945652173913043,0.5543478260869565,0.0,0.5042602198186501
llm_dynamic_2_shot,Pop,0.9619565217391305,0.5706521739130435,0.021739130434782608,0.5200919690450568
llm_dynamic_3_shot,Int,1.0,0.2608695652173913,0.005434782608695652,0.383781783513716
llm_dynamic_3_shot,Out,1.0,0.47282608695652173,0.005434782608695652,0.4768660210007184
llm_dynamic_3_shot,Pop,0.9945652173913043,0.6141304347826086,0.04891304347826087,0.5536575039590624
llm_dynamic_4_shot,Int,0.9945652173913043,0.21739130434782608,0.005434782608695652,0.3683467446307785
llm_dynamic_4_shot,Out,1.0,0.44565217391304346,0.010869565217391304,0.4540577258377894
llm_dynamic_4_shot,Pop,0.9836956521739131,0.4945652173913043,0.04891304347826087,0.4961924303968504
llm_dynamic_5_shot,Int,1.0,0.20108695652173914,0.016304347826086956,0.37285942766534025
llm_dynamic_5_shot,Out,1.0,0.3967391304347826,0.010869565217391304,0.4422979422856031
llm_dynamic_5_shot,Pop,0.9945652173913043,0.4891304347826087,0.03804347826086957,0.4936548318129557
llm_zero_shot,Int,0.9565217391304348,0.1793478260869565,0.02717391304347826,0.33573848609374
llm_zero_shot,Out,0.967391304347826,0.2717391304347826,0.010869565217391304,0.344318576789151
llm_zero_shot,Pop,0.9891304347826086,0.5380434782608695,0.05434782608695652,0.512458428855237
ml_decomposed,Int,0.9891304347826086,0.010869565217391304,0.0,0.1718391196266579
ml_decomposed,Out,0.9782608695652174,0.043478260869565216,0.005434782608695652,0.24730184975915454
ml_decomposed,Pop,0.9565217391304348,0.08152173913043478,0.0,0.28939910916902384
ml_end_to_end,Int,0.9782608695652174,0.005434782608695652,0.0,0.16797053610321047
ml_end_to_end,Out,0.9836956521739131,0.05434782608695652,0.005434782608695652,0.24878861240508313
ml_end_to_end,Pop,0.9402173913043478,0.059782608695652176,0.0,0.28748485103058186
