method,field,abstract_length_group,f1,recall,precision,n
cluster_kmeans,Int,short,0.38809569792417903,0.40653057436850043,0.4315851897442814,62
cluster_kmeans,Int,medium,0.38439440365867045,0.4143675862641414,0.454046561765715,62
cluster_kmeans,Int,long,0.3957303420353701,0.46110796310886976,0.4439585596771175,60
cluster_kmeans,Out,short,0.35805429640465075,0.35897280523769226,0.4476325754425241,62
cluster_kmeans,Out,medium,0.4039684557870739,0.42157383548572586,0.5421297594181225,62
cluster_kmeans,Out,long,0.40014835850138286,0.4107408047778863,0.5559994725561751,60
cluster_kmeans,Pop,short,0.3079416507261032,0.43297492761845163,0.29561356664653843,62
cluster_kmeans,Pop,medium,0.24878481486438972,0.391281507416712,0.23920719914837998,62
cluster_kmeans,Pop,long,0.288395003149003,0.48786893746702903,0.24858508975063395,60
llm_dynamic_1_shot,Int,short,0.471543732559547,0.5735697731051869,0.4895289018500217,62
llm_dynamic_1_shot,Int,medium,0.4502351084340166,0.5412785037666008,0.47975643431319653,62
llm_dynamic_1_shot,Int,long,0.3964376262832582,0.471123141136532,0.446537478564686,60
llm_dynamic_1_shot,Out,short,0.5079132076492646,0.5867760565754014,0.5368616843259119,62
llm_dynamic_1_shot,Out,medium,0.5147980082123668,0.5861233993106297,0.6106946278373923,62
llm_dynamic_1_shot,Out,long,0.4930869392134299,0.5359539952375233,0.5684480011344106,60
llm_dynamic_1_shot,Pop,short,0.5792505587575492,0.5412307774197942,0.7582075117060886,62
llm_dynamic_1_shot,Pop,medium,0.5592430694827518,0.5182761130808267,0.7559352065488333,62
llm_dynamic_1_shot,Pop,long,0.5422299877283568,0.4939170297326064,0.7940820855856526,60
llm_dynamic_2_shot,Int,short,0.4684888642052646,0.5914490027270533,0.4581062203090779,62
llm_dynamic_2_shot,Int,medium,0.4227415782069522,0.5384109144077217,0.42716295020926226,62
llm_dynamic_2_shot,Int,long,0.36604303562693274,0.4176696777192643,0.440933603154264,60
llm_dynamic_2_shot,Out,short,0.5381888218024792,0.6224871822227536,0.5449412602276218,62
llm_dynamic_2_shot,Out,medium,0.5012301731928416,0.5520309176114557,0.5981230591651986,62
llm_dynamic_2_shot,Out,long,0.47233171261536216,0.4876248702105297,0.6358008555926692,60
llm_dynamic_2_shot,Pop,short,0.5687875855326078,0.5266060427756364,0.7447466669952438,62
llm_dynamic_2_shot,Pop,medium,0.5185976773559139,0.4686627109938056,0.7573625762013851,62
llm_dynamic_2_shot,Pop,long,0.4713172667533685,0.398702233107992,0.821347936483806,60
llm_dynamic_3_shot,Int,short,0.4471328805153515,0.5033391077132312,0.51052840992254,62
llm_dynamic_3_shot,Int,medium,0.39538159702789116,0.43346562513296844,0.5001229250135282,62
llm_dynamic_3_shot,Int,long,0.30633250931404493,0.2865379316759569,0.5021890224755337,60
llm_dynamic_3_shot,Out,short,0.5205186561726218,0.5801108236034467,0.5792943769152755,62
llm_dynamic_3_shot,Out,medium,0.48490218319074474,0.49671097442464246,0.6333096420221694,62
llm_dynamic_3_shot,Out,long,0.4234542637267244,0.3966910292603135,0.6397257257852368,60
llm_dynamic_3_shot,Pop,short,0.6091426973435282,0.556964592129804,0.8379849670233461,62
llm_dynamic_3_shot,Pop,medium,0.5594863002859868,0.47642327627581477,0.8566184511112355,62
llm_dynamic_3_shot,Pop,long,0.490299714590626,0.4079828267480019,0.8675828593920699,60
llm_dynamic_4_shot,Int,short,0.40621805805306815,0.398206585270462,0.5354054294622317,62
llm_dynamic_4_shot,Int,medium,0.38072112804875297,0.3705840399235616,0.5180460709588468,62
llm_dynamic_4_shot,Int,long,0.3164261912291722,0.2463422827677597,0.6276849024631282,60
llm_dynamic_4_shot,Out,short,0.4723387828567922,0.46627355144592725,0.6024487261945594,62
llm_dynamic_4_shot,Out,medium,0.47594894275982863,0.45451048025995655,0.6494775425308461,62
llm_dynamic_4_shot,Out,long,0.4125463760987124,0.3550456970082339,0.7121944177883492,60
llm_dynamic_4_shot,Pop,short,0.575752457390511,0.4982578258790324,0.8460100831068573,62
llm_dynamic_4_shot,Pop,medium,0.49075409616269294,0.3899816437188257,0.8611549964372545,62
llm_dynamic_4_shot,Pop,long,0.4196000145453639,0.3168718740094613,0.875734126984127,60
llm_dynamic_5_shot,Int,short,0.4078871128496458,0.3772057397794754,0.5594829743311717,62
llm_dynamic_5_shot,Int,medium,0.36421167012661515,0.3364784666626403,0.5316909396662104,62
llm_dynamic_5_shot,Int,long,0.34560016909824043,0.28546187694465675,0.6045177769619989,60
llm_dynamic_5_shot,Out,short,0.4652465017923526,0.4438800876966994,0.6128909689075767,62
llm_dynamic_5_shot,Out,medium,0.45267213529050826,0.4024168158759451,0.6674244386989755,62
llm_dynamic_5_shot,Out,long,0.4078644313568932,0.3550718873827313,0.6749301034134146,60
llm_dynamic_5_shot,Pop,short,0.5600434012566453,0.4769052767872943,0.8535888842340456,62
llm_dynamic_5_shot,Pop,medium,0.5208063926088333,0.4145552001877247,0.8769102761038245,62
llm_dynamic_5_shot,Pop,long,0.39699669723206976,0.297210235644115,0.8621465595807701,60
llm_zero_shot,Int,short,0.382549234411547,0.33852799994970606,0.5974614098006812,62
llm_zero_shot,Int,medium,0.3287345798137146,0.31312373824636686,0.5161492523228516,62
llm_zero_shot,Int,long,0.2946047493213656,0.2322325120892611,0.5807070938320938,60
llm_zero_shot,Out,short,0.4105945945513273,0.36333858015294684,0.6495224879485184,62
llm_zero_shot,Out,medium,0.3018165917182208,0.23440041290802927,0.6705635458619079,62
llm_zero_shot,Out,long,0.31975207634153,0.23831707578708708,0.729860274756108,60
llm_zero_shot,Pop,short,0.561566294265311,0.4771222149548966,0.8601757785225527,62
llm_zero_shot,Pop,medium,0.5013941658550788,0.3944608078803141,0.9003974520103553,62
llm_zero_shot,Pop,long,0.47314670636499057,0.37844636033691403,0.8885425547030406,60
ml_decomposed,Int,short,0.17743132741607034,0.6924426179518581,0.11094258651756672,62
ml_decomposed,Int,medium,0.17154887345515255,0.7277777972378252,0.10170516420463845,62
