method,field,field_density_group,f1,recall,n
cluster_kmeans,Int,low,1.0,1.0,2
cluster_kmeans,Int,medium,0.2376470588235294,0.26956521739130435,5
cluster_kmeans,Int,high,0.3867230029725493,0.42493976078417767,177
cluster_kmeans,Out,low,0.42857142857142855,0.48888888888888893,5
cluster_kmeans,Out,medium,0.1437908496732026,0.17460317460317462,3
cluster_kmeans,Out,high,0.3902277412164384,0.3981254888822223,176
cluster_kmeans,Pop,low,0.003766478342749529,0.047619047619047616,3
cluster_kmeans,Pop,medium,0.0809165310565565,0.30612244897959184,7
cluster_kmeans,Pop,high,0.29450014886854364,0.4487949478993541,174
llm_dynamic_1_shot,Int,low,0.3929798065328494,0.5476657447367435,89
llm_dynamic_1_shot,Int,medium,0.45796925184353066,0.5136113829454524,74
llm_dynamic_1_shot,Int,high,0.5748389667024556,0.5065946673671002,21
llm_dynamic_1_shot,Out,low,0.3820718522612552,0.623754186989481,51
llm_dynamic_1_shot,Out,medium,0.49535210607397834,0.5664178155970148,56
llm_dynamic_1_shot,Out,high,0.5943886926072746,0.5369629190816748,77
llm_dynamic_1_shot,Pop,low,0.5603396394162189,0.5991216943088601,66
llm_dynamic_1_shot,Pop,medium,0.5946032318242576,0.5211046868605632,75
llm_dynamic_1_shot,Pop,high,0.5009940843327977,0.3883619920015784,43
llm_dynamic_2_shot,Int,low,0.36653204307733767,0.5319617817200174,89
llm_dynamic_2_shot,Int,medium,0.44742634142796955,0.500120024147284,74
llm_dynamic_2_shot,Int,high,0.5470461175057427,0.5122864364538741,21
llm_dynamic_2_shot,Out,low,0.3319056703838136,0.5550232175232176,51
llm_dynamic_2_shot,Out,medium,0.5293687704807056,0.5722707402566483,56
llm_dynamic_2_shot,Out,high,0.6001563650667222,0.5418736214843684,77
llm_dynamic_2_shot,Pop,low,0.5348886487030562,0.5615050897804909,66
llm_dynamic_2_shot,Pop,medium,0.5385960790541703,0.44569366942353117,75
llm_dynamic_2_shot,Pop,high,0.46510617583316205,0.35214966483506255,43
