method,field,sentence_count_group,f1,n
cluster_kmeans,Int,1-5,0.4320832946563941,6
cluster_kmeans,Int,6-10,0.3869601991278014,78
cluster_kmeans,Int,>10,0.38862811520352,100
cluster_kmeans,Out,1-5,0.4122137404580153,6
cluster_kmeans,Out,6-10,0.3819704370260673,78
cluster_kmeans,Out,>10,0.38987335615188556,100
cluster_kmeans,Pop,1-5,0.4201108116202456,6
cluster_kmeans,Pop,6-10,0.30477741866811553,78
cluster_kmeans,Pop,>10,0.25527437529716257,100
llm_dynamic_1_shot,Int,1-5,0.46763244888244887,6
llm_dynamic_1_shot,Int,6-10,0.4744542482385036,78
llm_dynamic_1_shot,Int,>10,0.4112331966269847,100
llm_dynamic_1_shot,Out,1-5,0.5378617649717393,6
llm_dynamic_1_shot,Out,6-10,0.5159625220700477,78
llm_dynamic_1_shot,Out,>10,0.4952106442493278,100
llm_dynamic_1_shot,Pop,1-5,0.4997877939054409,6
llm_dynamic_1_shot,Pop,6-10,0.5741393883430903,78
llm_dynamic_1_shot,Pop,>10,0.5533880516040638,100
llm_dynamic_2_shot,Int,1-5,0.47881536999184054,6
llm_dynamic_2_shot,Int,6-10,0.4827271998520701,78
llm_dynamic_2_shot,Int,>10,0.3669325575876089,100
llm_dynamic_2_shot,Out,1-5,0.5214682441153246,6
llm_dynamic_2_shot,Out,6-10,0.5576072413722758,78
llm_dynamic_2_shot,Out,>10,0.46161706154902155,100
llm_dynamic_2_shot,Pop,1-5,0.4772727272727273,6
llm_dynamic_2_shot,Pop,6-10,0.5516154695867062,78
llm_dynamic_2_shot,Pop,>10,0.49807279312891006,100
llm_dynamic_3_shot,Int,1-5,0.35973324514991184,6
llm_dynamic_3_shot,Int,6-10,0.44975353507069843,78
llm_dynamic_3_shot,Int,>10,0.33376672960109793,100
llm_dynamic_3_shot,Out,1-5,0.5540895512886972,6
llm_dynamic_3_shot,Out,6-10,0.5219029313794731,78
llm_dynamic_3_shot,Out,>10,0.4371038190880111,100
llm_dynamic_3_shot,Pop,1-5,0.5992205893521683,6
llm_dynamic_3_shot,Pop,6-10,0.5848090780631279,78
llm_dynamic_3_shot,Pop,>10,0.5266254910343051,100
llm_dynamic_4_shot,Int,1-5,0.41153381642512077,6
llm_dynamic_4_shot,Int,6-10,0.4155824135509124,78
llm_dynamic_4_shot,Int,>10,0.32891169856541347,100
llm_dynamic_4_shot,Out,1-5,0.5683262389784128,6
llm_dynamic_4_shot,Out,6-10,0.4734333084090929,78
llm_dynamic_4_shot,Out,>10,0.4320886606437352,100
llm_dynamic_4_shot,Pop,1-5,0.6021645021645021,6
llm_dynamic_4_shot,Pop,6-10,0.5343202653297856,78
llm_dynamic_4_shot,Pop,>10,0.46009439484310183,100
llm_dynamic_5_shot,Int,1-5,0.4268518518518518,6
llm_dynamic_5_shot,Int,6-10,0.4072098343744847,78
llm_dynamic_5_shot,Int,>10,0.3428265649810168,100
llm_dynamic_5_shot,Out,1-5,0.48665485552962867,6
llm_dynamic_5_shot,Out,6-10,0.4647186257395756,78
llm_dynamic_5_shot,Out,>10,0.422148394396863,100
llm_dynamic_5_shot,Pop,1-5,0.6165435871318224,6
llm_dynamic_5_shot,Pop,6-10,0.5365152449807677,78
llm_dynamic_5_shot,Pop,>10,0.4528503842229305,100
llm_zero_shot,Int,1-5,0.3513888888888889,6
llm_zero_shot,Int,6-10,0.3677312596794905,78
llm_zero_shot,Int,>10,0.30984509852914566,100
llm_zero_shot,Out,1-5,0.5073129484894191,6
llm_zero_shot,Out,6-10,0.3654289551367696,78
llm_zero_shot,Out,>10,0.3180728193759924,100
llm_zero_shot,Pop,1-5,0.690699651225967,6
llm_zero_shot,Pop,6-10,0.5165130304590251,78
llm_zero_shot,Pop,>10,0.4986013662620384,100
ml_decomposed,Int,1-5,0.15038029100529102,6
ml_decomposed,Int,6-10,0.1778266745447878,78
ml_decomposed,Int,>10,0.1684563565077986,100
ml_decomposed,Out,1-5,0.26074526211961974,6
ml_decomposed,Out,6-10,0.2671035623684224,78
ml_decomposed,Out,>10,0.2310499091822977,100
ml_decomposed,Pop,1-5,0.2527610105074894,6
ml_decomposed,Pop,6-10,0.2897075106684049,78
ml_decomposed,Pop,>10,0.29135684191919864,100
ml_end_to_end,Int,1-5,0.17173600068081218,6
ml_end_to_end,Int,6-10,0.17148534375283928,78
ml_end_to_end,Int,>10,0.16500305826184392,100
ml_end_to_end,Out,1-5,0.26685105088149214,6
ml_end_to_end,Out,6-10,0.27333404249700677,78
ml_end_to_end,Out,>10,0.22855943062479814,100
ml_end_to_end,Pop,1-5,0.23777048254438915,6
ml_end_to_end,Pop,6-10,0.2819592753237088,78
ml_end_to_end,Pop,>10,0.2947776621911144,100
